"Length" "LSTM" "GRU" "Baseline"
8 0.847826086956522 0.934782608695652 0.714285714285714
9 0.83294930875576 0.844470046082949 0.723756906077348
10 0.860486891385768 0.863295880149813 0.626315789473684
11 0.869318181818182 0.888257575757576 0.653543307086614
12 0.836272040302267 0.855163727959698 0.672413793103448
13 0.863821138211382 0.865853658536585 0.533333333333333
14 0.840989399293286 0.872791519434629 0.777777777777778
15 0.807142857142857 0.878571428571429 0.8
16 0.902439024390244 0.890243902439024 0.61
17 0.888888888888889 0.907407407407407 0.5
18 0.891891891891892 0.918918918918919 0.6
19 0.916666666666667 0.958333333333333 0.4
20 0.857142857142857 0.928571428571429 0.5
21 0.833333333333333 0.857142857142857 0.487
